Record,Institution UKPRN code,Institution name,Main panel name,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Research group code,Research group name
91,10007806,University of Sussex,"Medicine, health and life sciences",Clinical Medicine,,,,9,Centre for Global Health Research
92,10007806,University of Sussex,"Medicine, health and life sciences",Clinical Medicine,,,,A,Pharma Supply Chains and Healthcare Technology
93,10007806,University of Sussex,"Medicine, health and life sciences",Clinical Medicine,,,,B,Neurodegenerative Disease and Ageing Research Centre
94,10007806,University of Sussex,"Medicine, health and life sciences",Clinical Medicine,,,,C,Haematology Research Group
95,10007786,University of Bristol,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,A,Applied Health Research
96,10007786,University of Bristol,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,B,Primary Care
97,10007786,University of Bristol,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,C,Public Health
98,10007786,University of Bristol,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,D,Translational Epidemiology
99,10007791,The University of Essex,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,A,Biosocial Research and Biostatistics
100,10007791,The University of Essex,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,B,Research Data Infrastructure and Support
101,10007791,The University of Essex,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,C,Mental Health and Health Service Research
102,10007792,University of Exeter,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,A,Public Health
103,10007792,University of Exeter,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,B,Primary Care Research
104,10007792,University of Exeter,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,C,Health Service Research
105,10003270,"Imperial College of Science, Technology and Medicine","Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,A,Chronic disease epidemiology
106,10003270,"Imperial College of Science, Technology and Medicine","Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,B,Clinical trials and evaluation
107,10003270,"Imperial College of Science, Technology and Medicine","Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,C,Infectious disease epidemiology
108,10007796,The University of Leicester,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,A,Genetic Epidemiology
109,10007796,The University of Leicester,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,B,Biostatistics
110,10007796,The University of Leicester,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,C,Epidemiology & Health Services Research
111,10007796,The University of Leicester,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,D,Diabetes Research
112,10006842,The University of Liverpool,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,A,Health Inequalities
113,10006842,The University of Liverpool,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,B,Primary Care and Wellbeing
114,10006842,The University of Liverpool,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,C,Trials & Methodology
115,10007798,The University of Manchester,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,A,"Population Health, Health Services Research and Primary Care"
116,10007798,The University of Manchester,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,B,"Informatics, Imaging and Data Sciences"
117,10007798,The University of Manchester,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,C,Psychology and Mental Health
118,10007798,The University of Manchester,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,D,"Nursing, Midwifery and Social Work"
119,10007798,The University of Manchester,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,E,Musculoskeletal and Dermatological Sciences
120,10007798,The University of Manchester,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,F,Evolution and Genomic Sciences
121,10007798,The University of Manchester,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,G,Cancer Sciences
122,10007798,The University of Manchester,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,H,"Diabetes, Endocrinology and Gastroenterology"
123,10007798,The University of Manchester,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,I,"Infection, Immunity and Respiratory Medicine"
124,10007798,The University of Manchester,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,J,Medical Education
125,10007799,University of Newcastle upon Tyne,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,A,Public Health
126,10007799,University of Newcastle upon Tyne,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,B,Primary Care
127,10007799,University of Newcastle upon Tyne,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,C,Applied Epidemiology
128,10007799,University of Newcastle upon Tyne,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,D,Evaluation
129,10007138,"University of Northampton, The","Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,A,Physical Activity and Life Sciences Research Centre
130,10007138,"University of Northampton, The","Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,B,Centre for Health Sciences and Services
131,10007138,"University of Northampton, The","Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,C,Musculoskeletal Group
132,10007138,"University of Northampton, The","Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,D,Molecular Bioscience Group
133,10007154,"University of Nottingham, The","Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,A,Epidemiology and Public Health
134,10007154,"University of Nottingham, The","Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,B,Primary Care
135,10007775,Queen Mary University of London,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,A,IPHS
136,10007775,Queen Mary University of London,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,B,Blizard
137,10007775,Queen Mary University of London,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,C,William Harvey
138,10007775,Queen Mary University of London,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,D,Wolfson
139,10007157,The University of Sheffield,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,A,Alcohol Policy
140,10007157,The University of Sheffield,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,B,Clinical Trials
141,10007157,The University of Sheffield,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,C,Complex Interventions
142,10007157,The University of Sheffield,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,D,Global Health
143,10007157,The University of Sheffield,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,E,Health Technology Assessment
144,10007157,The University of Sheffield,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,F,Measuring and Valuing Health
145,10007157,The University of Sheffield,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,G,Mental Health
146,10007157,The University of Sheffield,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,H,Primary Care
147,10007157,The University of Sheffield,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,I,Public Health
148,10007157,The University of Sheffield,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,J,Urgent and Emergency Care
149,10007158,University of Southampton,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,A,Clinical Population Sciences
150,10007158,University of Southampton,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,B,Healthy Ageing and Multimorbidity
151,10007158,University of Southampton,"Medicine, health and life sciences","Public Health, Health Services and Primary Care",,,,C,Infection and Microbial Science
152,10007759,Aston University,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,A,Cellular & Molecular Biomedicine
153,10007759,Aston University,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,B,Health & Disease across the Lifespan
154,10007759,Aston University,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,C,Clinical & Systems Neuroscience
155,10007759,Aston University,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,D,"Vision, Cognition & Language"
156,10007850,The University of Bath,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,A,Drug & Target Discovery
157,10007850,The University of Bath,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,B,Medicines Design
158,10007850,The University of Bath,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,C,Health & Clinical Research
159,10007152,University of Bedfordshire,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,1,IHR - Institute for Health Research
160,10007152,University of Bedfordshire,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,A,iBEST - Institute of Biomedical and Environmental Science and Technology
161,10000824,Bournemouth University,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,A,ADRC (Ageing and Dementia Research Centre)
162,10000824,Bournemouth University,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,B,BUCRU (Bournemouth University Clinical Research Unit)
163,10000824,Bournemouth University,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,C,"CMMPH (Centre for Midwifery, Maternal and Perinatal Health)"
164,10000824,Bournemouth University,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,D,IMIV (Institute of Medical Imaging and Visualisation)
165,10000824,Bournemouth University,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,E,iWell
166,10000824,Bournemouth University,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,F,Nursing for Long-Term health
167,10000824,Bournemouth University,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,G,ORI (Orthopaedic Research Institute)
168,10000824,Bournemouth University,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,H,Centre for Seldom Heard Voices
169,10000824,Bournemouth University,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,I,SPARC (Sport and Physical Activity Research Centre)
170,10000824,Bournemouth University,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,J,Biological Science
171,10000886,University of Brighton,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,(joint submission with University of Sussex),A,Ageing and dementia
172,10000886,University of Brighton,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,(joint submission with University of Sussex),B,New technology and devices in healthcare
173,10000886,University of Brighton,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,(joint submission with University of Sussex),C,Disease and chronic conditions across the lifespan
174,10000886,University of Brighton,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,(joint submission with University of Sussex),D,"Public health, policy and ethics"
175,10000961,Brunel University London,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,1,Biosciences
176,10000961,Brunel University London,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,2,Health Sciences
177,10007854,Cardiff Metropolitan University _ Prifysgol Metropolitan Caerdydd,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,A,Biomedical Sciences
178,10007141,University of Central Lancashire,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,A,Applied Public Health
179,10007141,University of Central Lancashire,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,B,Health Education Research
180,10007141,University of Central Lancashire,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,C,Health Services Research
181,10007141,University of Central Lancashire,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,D,Health Technology Assessment
182,10007141,University of Central Lancashire,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,E,Maternal & Child Health
183,10007141,University of Central Lancashire,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,F,Mental Health & Wellbeing
184,10007141,University of Central Lancashire,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,G,Neuroscience
185,10007141,University of Central Lancashire,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,H,"Sport, Exercise & Rehabilitation Sciences"
186,10007141,University of Central Lancashire,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,I,Translational Biomedical Sciences
187,10007141,University of Central Lancashire,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,J,Translational Clinical Sciences
188,10007848,University of Chester,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,1,Public Health
189,10007848,University of Chester,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,2,Ageing and Veterans
190,10007848,University of Chester,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,3,Learning Disabilities and Mental Health
191,10007848,University of Chester,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,4,Food and Nutrition
192,10007848,University of Chester,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,5,Clinical Care
193,10007848,University of Chester,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,6,Tissue Disease and Repair
194,10007848,University of Chester,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,7,Cellular and Molecular Pathology
195,10007848,University of Chester,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,8,Pedagogy
196,10007144,University of East London,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,1,Clinical Research Group
197,10007144,University of East London,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,2,Infection and Immunity
198,10007144,University of East London,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,3,Applied Sports Science Research Group
199,10007144,University of East London,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,4,Medicines Research Group
200,10007144,University of East London,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,5,Institute for Connected Communities (formerly IHHD)
201,10007772,Edinburgh Napier University,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,A,Biomedical Science
202,10007772,Edinburgh Napier University,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,B,Cardiovascular Health
203,10007772,Edinburgh Napier University,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,C,Innovation in Health & Social Care
204,10007772,Edinburgh Napier University,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,D,Maternal & Child Health
205,10007772,Edinburgh Napier University,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,E,Mental Health
206,10007772,Edinburgh Napier University,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,F,Microbiology
207,10007772,Edinburgh Napier University,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,G,Population & Public Health
208,10007772,Edinburgh Napier University,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,H,Psychology
209,10007772,Edinburgh Napier University,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,I,"Sport, Exercise & Health Science"
210,10007794,University of Glasgow,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,A,Dentistry
211,10007794,University of Glasgow,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,B,Human Nutrition
212,10007794,University of Glasgow,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,C,Nursing
213,10007146,University of Greenwich,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",B,UoG Submission in Allied Health Professions & Nursing,,A,Centre for Chronic Illness & Ageing
214,10007146,University of Greenwich,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",B,UoG Submission in Allied Health Professions & Nursing,,B,Centre for Inequalities
215,10007146,University of Greenwich,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",B,UoG Submission in Allied Health Professions & Nursing,,C,Centre for Mental Health
216,10007146,University of Greenwich,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",B,UoG Submission in Allied Health Professions & Nursing,,D,Centre for Professional Workforce Development
217,10007146,University of Greenwich,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",B,UoG Submission in Allied Health Professions & Nursing,,E,Centre for Thinking & Learning
218,10007146,University of Greenwich,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",B,UoG Submission in Allied Health Professions & Nursing,,F,Centre for Vulnerable Children & Families
219,10007146,University of Greenwich,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",B,UoG Submission in Allied Health Professions & Nursing,,G,"Centre for Exercise, Activity and Rehabilitation"
220,10007767,University of Keele,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,1,Musculoskeletal Health and Rehabilitation
221,10007767,University of Keele,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,2,Biomedical Science
222,10007767,University of Keele,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,3,Health Services Research
223,10007767,University of Keele,"Medicine, health and life sciences","Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,4,Advanced Pharmaceutics
