Record,Institution UKPRN code,Institution name,Main panel name,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Research group code,Research group name
0,10007786,University of Bristol,"Medicine, health and life sciences",Clinical Medicine,,,,A,Cardiovascular Science
1,10007786,University of Bristol,"Medicine, health and life sciences",Clinical Medicine,,,,B,"Infection, Immunity & Cancer"
2,10007788,University of Cambridge,"Medicine, health and life sciences",Clinical Medicine,,,,A,Cancer
3,10007788,University of Cambridge,"Medicine, health and life sciences",Clinical Medicine,,,,B,Cardiovascular and Respiratory diseases
4,10007788,University of Cambridge,"Medicine, health and life sciences",Clinical Medicine,,,,C,Infection and Immunity
5,10007788,University of Cambridge,"Medicine, health and life sciences",Clinical Medicine,,,,D,Metabolic and Endocrine diseases
6,10007788,University of Cambridge,"Medicine, health and life sciences",Clinical Medicine,,,,E,Women and Children's Health
7,10007788,University of Cambridge,"Medicine, health and life sciences",Clinical Medicine,,,,F,Clinical Trials
8,10007788,University of Cambridge,"Medicine, health and life sciences",Clinical Medicine,,,,G,Data Science
9,10007788,University of Cambridge,"Medicine, health and life sciences",Clinical Medicine,,,,H,Imaging Science
10,10007788,University of Cambridge,"Medicine, health and life sciences",Clinical Medicine,,,,I,Genetics and Genomics
11,10007788,University of Cambridge,"Medicine, health and life sciences",Clinical Medicine,,,,J,Mechanisms of Disease
12,10007788,University of Cambridge,"Medicine, health and life sciences",Clinical Medicine,,,,K,Basic Cell Biology
13,10007790,University of Edinburgh,"Medicine, health and life sciences",Clinical Medicine,,,,A,Cancer
14,10007790,University of Edinburgh,"Medicine, health and life sciences",Clinical Medicine,,,,B,Genetics
15,10007790,University of Edinburgh,"Medicine, health and life sciences",Clinical Medicine,,,,C,Cardiometabolic Disease
16,10007790,University of Edinburgh,"Medicine, health and life sciences",Clinical Medicine,,,,D,Reproductive Health
17,10007790,University of Edinburgh,"Medicine, health and life sciences",Clinical Medicine,,,,E,Regeneration and Repair
18,10007790,University of Edinburgh,"Medicine, health and life sciences",Clinical Medicine,,,,F,Infection
19,10007790,University of Edinburgh,"Medicine, health and life sciences",Clinical Medicine,,,,G,"Data Sciences, Medical Informatics and Population Sciences"
20,10007792,University of Exeter,"Medicine, health and life sciences",Clinical Medicine,,,,A,"Diabetes, Cardiovascular Risk and Aging"
21,10007792,University of Exeter,"Medicine, health and life sciences",Clinical Medicine,,,,B,Neuroscience and Mental Health
22,10007792,University of Exeter,"Medicine, health and life sciences",Clinical Medicine,,,,C,Infection and Immunity
23,10007794,University of Glasgow,"Medicine, health and life sciences",Clinical Medicine,,,,A,"Infection, immunity and inflammation"
24,10007794,University of Glasgow,"Medicine, health and life sciences",Clinical Medicine,,,,B,Cardiovascular and medical sciences
25,10007794,University of Glasgow,"Medicine, health and life sciences",Clinical Medicine,,,,C,Cancer Sciences
26,10003270,"Imperial College of Science, Technology and Medicine","Medicine, health and life sciences",Clinical Medicine,,,,A,Cancer
27,10003270,"Imperial College of Science, Technology and Medicine","Medicine, health and life sciences",Clinical Medicine,,,,B,Cardiovascular
28,10003270,"Imperial College of Science, Technology and Medicine","Medicine, health and life sciences",Clinical Medicine,,,,C,Infection and Immunity
29,10003270,"Imperial College of Science, Technology and Medicine","Medicine, health and life sciences",Clinical Medicine,,,,D,Metabolism and Endocrinology
30,10003270,"Imperial College of Science, Technology and Medicine","Medicine, health and life sciences",Clinical Medicine,,,,E,Respiratory
31,10003270,"Imperial College of Science, Technology and Medicine","Medicine, health and life sciences",Clinical Medicine,,,,F,"Surgery, Anaesthetics and Critical Care"
32,10007796,The University of Leicester,"Medicine, health and life sciences",Clinical Medicine,,,,A,Cardiovascular
33,10007796,The University of Leicester,"Medicine, health and life sciences",Clinical Medicine,,,,B,Respiratory
34,10007796,The University of Leicester,"Medicine, health and life sciences",Clinical Medicine,,,,C,Diabetes
35,10007796,The University of Leicester,"Medicine, health and life sciences",Clinical Medicine,,,,D,Cancer & pathology
36,10006842,The University of Liverpool,"Medicine, health and life sciences",Clinical Medicine,,,,A,Cancer Medicine
37,10006842,The University of Liverpool,"Medicine, health and life sciences",Clinical Medicine,,,,B,Infection and Global Health
38,10006842,The University of Liverpool,"Medicine, health and life sciences",Clinical Medicine,,,,C,Life Course and Chronic Diseases
39,10006842,The University of Liverpool,"Medicine, health and life sciences",Clinical Medicine,,,,D,"Pharmacology, Therapeutics, and Multi-omics"
40,10007798,The University of Manchester,"Medicine, health and life sciences",Clinical Medicine,,,,A,Cancer Sciences
41,10007798,The University of Manchester,"Medicine, health and life sciences",Clinical Medicine,,,,B,Musculoskeletal and Dermatological Sciences
42,10007798,The University of Manchester,"Medicine, health and life sciences",Clinical Medicine,,,,C,Cardiovascular Sciences
43,10007798,The University of Manchester,"Medicine, health and life sciences",Clinical Medicine,,,,D,"Infection, Immunity and Respiratory Medicine"
44,10007798,The University of Manchester,"Medicine, health and life sciences",Clinical Medicine,,,,E,Evolution and Genomic Sciences
45,10007798,The University of Manchester,"Medicine, health and life sciences",Clinical Medicine,,,,F,Developmental Biology and Medicine
46,10007798,The University of Manchester,"Medicine, health and life sciences",Clinical Medicine,,,,G,Cancer Research UK Manchester Institute
47,10007798,The University of Manchester,"Medicine, health and life sciences",Clinical Medicine,,,,H,"Diabetes, Endocrinology and Gastroenterology"
48,10007798,The University of Manchester,"Medicine, health and life sciences",Clinical Medicine,,,,I,Cell Matrix Biology and Regenerative Medicine
49,10007798,The University of Manchester,"Medicine, health and life sciences",Clinical Medicine,,,,J,"Informatics, Imaging and Data Sciences"
50,10007798,The University of Manchester,"Medicine, health and life sciences",Clinical Medicine,,,,K,"Human Communication, Development and Hearing"
51,10007798,The University of Manchester,"Medicine, health and life sciences",Clinical Medicine,,,,L,Medical Education
52,10007798,The University of Manchester,"Medicine, health and life sciences",Clinical Medicine,,,,M,Neuroscience and Experimental Psychology
53,10007799,University of Newcastle upon Tyne,"Medicine, health and life sciences",Clinical Medicine,,,,A,Long Term Conditions and Ageing
54,10007799,University of Newcastle upon Tyne,"Medicine, health and life sciences",Clinical Medicine,,,,B,"Regenerative Medicine, Transplantation and Advanced Therapies."
55,10007799,University of Newcastle upon Tyne,"Medicine, health and life sciences",Clinical Medicine,,,,C,Cancer
56,10007799,University of Newcastle upon Tyne,"Medicine, health and life sciences",Clinical Medicine,,,,D,Immunity and Inflammation
57,10007799,University of Newcastle upon Tyne,"Medicine, health and life sciences",Clinical Medicine,,,,E,Rare Diseases.
58,10007154,"University of Nottingham, The","Medicine, health and life sciences",Clinical Medicine,,,,A,"Child Health, Obstetrics and Gynaecology"
59,10007154,"University of Nottingham, The","Medicine, health and life sciences",Clinical Medicine,,,,B,Clinical Neuroscience
60,10007154,"University of Nottingham, The","Medicine, health and life sciences",Clinical Medicine,,,,C,Cancer and Stem Cell
61,10007154,"University of Nottingham, The","Medicine, health and life sciences",Clinical Medicine,,,,D,Respiratory Medicine
62,10007154,"University of Nottingham, The","Medicine, health and life sciences",Clinical Medicine,,,,E,"Rheumatology, Orthopaedics and Dermatology"
63,10007154,"University of Nottingham, The","Medicine, health and life sciences",Clinical Medicine,,,,F,Medical Science and Graduate Entry Medicine
64,10007154,"University of Nottingham, The","Medicine, health and life sciences",Clinical Medicine,,,,G,Nottingham Digestive Diseases Centre
65,10007154,"University of Nottingham, The","Medicine, health and life sciences",Clinical Medicine,,,,H,Clinical Trials Unit
66,10007775,Queen Mary University of London,"Medicine, health and life sciences",Clinical Medicine,,,,A,Blizard
67,10007775,Queen Mary University of London,"Medicine, health and life sciences",Clinical Medicine,,,,B,Barts Cancer
68,10007775,Queen Mary University of London,"Medicine, health and life sciences",Clinical Medicine,,,,C,William Harvey
69,10007775,Queen Mary University of London,"Medicine, health and life sciences",Clinical Medicine,,,,D,Wolfson
70,10007157,The University of Sheffield,"Medicine, health and life sciences",Clinical Medicine,,,,A,Bone & Joint
71,10007157,The University of Sheffield,"Medicine, health and life sciences",Clinical Medicine,,,,B,Cancer
72,10007157,The University of Sheffield,"Medicine, health and life sciences",Clinical Medicine,,,,C,Cardiovascular Disease
73,10007157,The University of Sheffield,"Medicine, health and life sciences",Clinical Medicine,,,,D,Endocrinology & Reproduction
74,10007157,The University of Sheffield,"Medicine, health and life sciences",Clinical Medicine,,,,E,Imaging
75,10007157,The University of Sheffield,"Medicine, health and life sciences",Clinical Medicine,,,,F,Infection & Immunity
76,10007157,The University of Sheffield,"Medicine, health and life sciences",Clinical Medicine,,,,G,Neuroscience
77,10007158,University of Southampton,"Medicine, health and life sciences",Clinical Medicine,,,,A,Cancer Sciences
78,10007158,University of Southampton,"Medicine, health and life sciences",Clinical Medicine,,,,B,Healthy Ageing and Multimorbidity
79,10007158,University of Southampton,"Medicine, health and life sciences",Clinical Medicine,,,,C,Clinical Population Sciences
80,10007158,University of Southampton,"Medicine, health and life sciences",Clinical Medicine,,,,D,Developmental Sciences and Regenerative Medicine
81,10007158,University of Southampton,"Medicine, health and life sciences",Clinical Medicine,,,,E,Infection and Microbial Science
82,10007803,University of St Andrews,"Medicine, health and life sciences",Clinical Medicine,,,,A,Population and Behavioural Science
83,10007803,University of St Andrews,"Medicine, health and life sciences",Clinical Medicine,,,,B,Infection and Global Health
84,10007803,University of St Andrews,"Medicine, health and life sciences",Clinical Medicine,,,,C,Cellular Medicine
85,10007806,University of Sussex,"Medicine, health and life sciences",Clinical Medicine,,,,3,NEURO
86,10007806,University of Sussex,"Medicine, health and life sciences",Clinical Medicine,,,,4,PCPH
87,10007806,University of Sussex,"Medicine, health and life sciences",Clinical Medicine,,,,5,CEMED
88,10007806,University of Sussex,"Medicine, health and life sciences",Clinical Medicine,,,,6,GHI
89,10007806,University of Sussex,"Medicine, health and life sciences",Clinical Medicine,,,,7,SHORE-C
90,10007806,University of Sussex,"Medicine, health and life sciences",Clinical Medicine,,,,8,Centre for Dementia Studies
